trick_name,source,proposed_formula,formula_status,add_status,topology_status,blocker_type,blocker_description,recommended_next_step,wave2_dependency,safe_to_publish_observationally,coverage_tier,notes
Double Dyno,footbagmoves,Blender (ss) (rev) (double),approximate_formula,external_only,unknown,curator_classification_pending,external formula uses only IFPA-known vocabulary; curator review pending,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,no Slice R classification; structural fit unclear
Double Fairy,footbagmoves,Illusion (ss) (double),approximate_formula,external_only,unknown,curator_classification_pending,external formula uses only IFPA-known vocabulary; curator review pending,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,no Slice R classification; structural fit unclear
Double Orbit,footbagmoves,ATW (out) (double),no_formula_available,external_only,unknown,no_structural_reading,external source supplies no parseable structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external lacks structural decomposition
Double Spinning Butterfly,footbagmoves,Double Spinning Butterfly (op),approximate_formula,external_only,unknown,curator_classification_pending,external formula uses only IFPA-known vocabulary; curator review pending,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,no Slice R classification; structural fit unclear
Double Spinning Clipper,footbagmoves,Double Spinning Clipper (op),observational_formula,external_only,unknown,partial_vocabulary_recognition,some tokens IFPA-unrecognized: clipper,curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Double Spinning Clipper,footbagmoves,Double Spinning Clipper (op),observational_formula,external_only,unknown,partial_vocabulary_recognition,some tokens IFPA-unrecognized: clipper,curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Double Spinning Osis,footbagmoves,Double Spinning Osis (op),approximate_formula,external_only,unknown,curator_classification_pending,external formula uses only IFPA-known vocabulary; curator review pending,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,no Slice R classification; structural fit unclear
Double Whip,footbagmoves,Whirl (rev) (ss) (double),approximate_formula,external_only,unknown,curator_classification_pending,external formula uses only IFPA-known vocabulary; curator review pending,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,no Slice R classification; structural fit unclear
Ducking Pdx Torque,footbagmoves,Torque (ducking) (op),approximate_formula,external_only,unknown,curator_classification_pending,external formula uses only IFPA-known vocabulary; curator review pending,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,no Slice R classification; structural fit unclear
Enterrage,footbagmoves,Terraging Legover (op),policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Fairy DLO (ss),footbagmoves,Fairy DLO (ss),policy_dependent_formula,external_only,unknown,wave_2_dependency,uses Wave-2 operator vocabulary (fairy/barraging/blurry),queue_post_wave2,true,true,tier_c_observational,Wave-2 operator vocabulary present (fairy/barraging/blurry)
Fairy Legover (ss),footbagmoves,Fairy Legover (ss),policy_dependent_formula,external_only,unknown,wave_2_dependency,uses Wave-2 operator vocabulary (fairy/barraging/blurry),queue_post_wave2,true,true,tier_c_observational,Wave-2 operator vocabulary present (fairy/barraging/blurry)
Fairy Pickup (ss),footbagmoves,Fairy Pickup (ss),policy_dependent_formula,external_only,unknown,wave_2_dependency,uses Wave-2 operator vocabulary (fairy/barraging/blurry),queue_post_wave2,true,true,tier_c_observational,Wave-2 operator vocabulary present (fairy/barraging/blurry)
Fracture,footbagmoves,Sailing DLO (ss),observational_formula,external_only,unknown,partial_vocabulary_recognition,"some tokens IFPA-unrecognized: sailing,dlo",curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Frantic Legover,footbagmoves,Pixie Quantum Legover (op),approximate_formula,external_only,unknown,curator_classification_pending,external formula uses only IFPA-known vocabulary; curator review pending,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,no Slice R classification; structural fit unclear
Genesis,footbagmoves,Barraging Whirl (op),policy_dependent_formula,external_only,structurally_placed,wave_2_dependency,uses Wave-2 operator vocabulary (fairy/barraging/blurry),queue_post_wave2,true,true,tier_c_observational,structurally clean but mentions Wave-2 operator (fairy/barraging/blurry)
Grifter,footbagmoves,Grifter (ss),policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Grifter,footbagmoves,Grifter (ss),policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Gyro Symp Swirl,footbagmoves,Spinning Swirl (ss) (symp),observational_formula,external_only,unknown,partial_vocabulary_recognition,some tokens IFPA-unrecognized: symp,curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Gyro Toe,footbagmoves,Gyro Toe (op),observational_formula,external_only,unknown,partial_vocabulary_recognition,some tokens IFPA-unrecognized: toe,curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Gyro Whirling Swirl,footbagmoves,Spinning Whirling Swirl (ss),approximate_formula,external_only,unknown,curator_classification_pending,external formula uses only IFPA-known vocabulary; curator review pending,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,no Slice R classification; structural fit unclear
Hatchet,footbagmoves,Diving Whirl (ss),exact_formula,stable,unknown,none,covered as canonical base; structural reading is the trick itself,no_action,false,false,tier_a_canonical_exact,
Infinity,footbagmoves,Butterfly (op),approximate_formula,external_only,unknown,curator_classification_pending,external formula uses only IFPA-known vocabulary; curator review pending,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,no Slice R classification; structural fit unclear
Infinity Swirl,footbagmoves,Butterfly Swirl (op),approximate_formula,external_only,unknown,curator_classification_pending,external formula uses only IFPA-known vocabulary; curator review pending,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,no Slice R classification; structural fit unclear
Inspinning Clipper,footbagmoves,Inspinning Clipper (op),observational_formula,external_only,unknown,partial_vocabulary_recognition,"some tokens IFPA-unrecognized: inspinning,clipper",curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Inspinning Osis,footbagmoves,Inspinning Osis (op),observational_formula,external_only,unknown,partial_vocabulary_recognition,some tokens IFPA-unrecognized: inspinning,curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Janiwalker,footbagmoves,Barraging Butterfly (op),policy_dependent_formula,external_only,unknown,wave_2_dependency,uses Wave-2 operator vocabulary (fairy/barraging/blurry),queue_post_wave2,true,true,tier_c_observational,Wave-2 operator vocabulary present (fairy/barraging/blurry)
Janiwalker,footbagmoves,Barraging Butterfly (op),policy_dependent_formula,external_only,unknown,wave_2_dependency,uses Wave-2 operator vocabulary (fairy/barraging/blurry),queue_post_wave2,true,true,tier_c_observational,Wave-2 operator vocabulary present (fairy/barraging/blurry)
Locomotion,footbagmoves,Stepping Motion (far),policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Locomotion,footbagmoves,Stepping Motion (far),policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Matador,footbagmoves,nuclear butterfly | paradox atomic butterfly,exact_formula,stable,unknown,none,stable curator-approved chain reading,no_action,false,false,tier_a_canonical_exact,
Merlin,footbagmoves,Miraging Symp Mirage (op),policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Montage,footbagmoves,spinning ducking paradox symposium whirl,exact_formula,stable,unknown,none,stable curator-approved chain reading,no_action,false,false,tier_a_canonical_exact,
Motion,footbagmoves,Motion (op),approximate_formula,external_only,structurally_placed,curator_review_pending,structurally clean decomposition; curator decides on canonical promotion,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Motion,footbagmoves,Motion (op),approximate_formula,external_only,structurally_placed,curator_review_pending,structurally clean decomposition; curator decides on canonical promotion,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Motion,footbagmoves,Motion (op),approximate_formula,external_only,structurally_placed,curator_review_pending,structurally clean decomposition; curator decides on canonical promotion,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Mullet,footbagmoves,Whirl (op) (ducking) (symp),exact_formula,stable,unknown,none,covered as canonical base; structural reading is the trick itself,no_action,false,false,tier_a_canonical_exact,
Mullet,footbagmoves,Whirl (op) (ducking) (symp),exact_formula,stable,unknown,none,covered as canonical base; structural reading is the trick itself,no_action,false,false,tier_a_canonical_exact,
